split,file_label,sumber,asal,malam_sintetis,salinan,jumlah_kotak
train,2024-12-25_17-28_MT_ITH_06_cr1_jpg.rf.a620cea511abf6e63bba5655be08bcbe.txt,site,minitruck/mining-truck-v1.4,tidak,-,2
train,2024-12-25_17-28_MT_ITH_06_cr1_jpg.rf.a620cea511abf6e63bba5655be08bcbe_dup2.txt,site,minitruck/mining-truck-v1.4,tidak,dup2,2
train,2024-12-25_17-28_MT_ITH_06_cr1_jpg.rf.a620cea511abf6e63bba5655be08bcbe_dup3.txt,site,minitruck/mining-truck-v1.4,tidak,dup3,2
train,2024-12-25_17-28_MT_ITH_06_cr1_jpg.rf.a620cea511abf6e63bba5655be08bcbe_night.txt,site,minitruck/mining-truck-v1.4,ya,-,2
train,2024-12-25_17-46_MT_ITH_06_cr1_jpg.rf.6a5490ef1dea085c52655b9a081ab34c.txt,site,minitruck/mining-truck-v1.4,tidak,-,2
train,2024-12-25_17-46_MT_ITH_06_cr1_jpg.rf.6a5490ef1dea085c52655b9a081ab34c_dup2.txt,site,minitruck/mining-truck-v1.4,tidak,dup2,2
train,2024-12-25_17-46_MT_ITH_06_cr1_jpg.rf.6a5490ef1dea085c52655b9a081ab34c_dup3.txt,site,minitruck/mining-truck-v1.4,tidak,dup3,2
train,2024-12-25_17-46_MT_ITH_06_cr1_jpg.rf.6a5490ef1dea085c52655b9a081ab34c_night.txt,site,minitruck/mining-truck-v1.4,ya,-,2
train,2025-01-20_18-44_MT_ITH_03_cr1_jpg.rf.9d6c4563f33083559e53baf11079546b.txt,site,minitruck/mining-truck-v1.4,tidak,-,2
train,2025-01-20_18-44_MT_ITH_03_cr1_jpg.rf.9d6c4563f33083559e53baf11079546b_dup2.txt,site,minitruck/mining-truck-v1.4,tidak,dup2,2
train,2025-01-20_18-44_MT_ITH_03_cr1_jpg.rf.9d6c4563f33083559e53baf11079546b_dup3.txt,site,minitruck/mining-truck-v1.4,tidak,dup3,2
train,2025-01-20_18-44_MT_ITH_03_cr1_jpg.rf.9d6c4563f33083559e53baf11079546b_night.txt,site,minitruck/mining-truck-v1.4,ya,-,2
train,2025-01-20_22-52_MT_ITH_03_cr1_jpg.rf.a3fc80797b6fdf24e2b182d343ade807.txt,site,minitruck/mining-truck-v1.4,tidak,-,2
train,2025-01-20_22-52_MT_ITH_03_cr1_jpg.rf.a3fc80797b6fdf24e2b182d343ade807_dup2.txt,site,minitruck/mining-truck-v1.4,tidak,dup2,2
train,2025-01-20_22-52_MT_ITH_03_cr1_jpg.rf.a3fc80797b6fdf24e2b182d343ade807_dup3.txt,site,minitruck/mining-truck-v1.4,tidak,dup3,2
train,2025-01-20_22-52_MT_ITH_03_cr1_jpg.rf.a3fc80797b6fdf24e2b182d343ade807_night.txt,site,minitruck/mining-truck-v1.4,ya,-,2
train,2025-01-21_06-37_MT_ITH_03_cr1_jpg.rf.0ebcb05845a7a8e277ff4f411a18546c.txt,site,minitruck/mining-truck-v1.4,tidak,-,2
train,2025-01-21_06-37_MT_ITH_03_cr1_jpg.rf.0ebcb05845a7a8e277ff4f411a18546c_dup2.txt,site,minitruck/mining-truck-v1.4,tidak,dup2,2
train,2025-01-21_06-37_MT_ITH_03_cr1_jpg.rf.0ebcb05845a7a8e277ff4f411a18546c_dup3.txt,site,minitruck/mining-truck-v1.4,tidak,dup3,2
train,2025-01-21_06-37_MT_ITH_03_cr1_jpg.rf.0ebcb05845a7a8e277ff4f411a18546c_night.txt,site,minitruck/mining-truck-v1.4,ya,-,2
train,2025-01-21_17-54_MT_ITH_06_cr1_jpg.rf.cdb057dedfefcc89e5c8a296e11621bb.txt,site,minitruck/mining-truck-v1.4,tidak,-,2
train,2025-01-21_17-54_MT_ITH_06_cr1_jpg.rf.cdb057dedfefcc89e5c8a296e11621bb_dup2.txt,site,minitruck/mining-truck-v1.4,tidak,dup2,2
train,2025-01-21_17-54_MT_ITH_06_cr1_jpg.rf.cdb057dedfefcc89e5c8a296e11621bb_dup3.txt,site,minitruck/mining-truck-v1.4,tidak,dup3,2
train,2025-01-21_17-54_MT_ITH_06_cr1_jpg.rf.cdb057dedfefcc89e5c8a296e11621bb_night.txt,site,minitruck/mining-truck-v1.4,ya,-,2
train,2025-01-21_18-05_MT_ITH_06_cr1_jpg.rf.e79628a4813fe804c08daf1ba2c328ba.txt,site,minitruck/mining-truck-v1.4,tidak,-,2
train,2025-01-21_18-05_MT_ITH_06_cr1_jpg.rf.e79628a4813fe804c08daf1ba2c328ba_dup2.txt,site,minitruck/mining-truck-v1.4,tidak,dup2,2
train,2025-01-21_18-05_MT_ITH_06_cr1_jpg.rf.e79628a4813fe804c08daf1ba2c328ba_dup3.txt,site,minitruck/mining-truck-v1.4,tidak,dup3,2
train,2025-01-21_18-05_MT_ITH_06_cr1_jpg.rf.e79628a4813fe804c08daf1ba2c328ba_night.txt,site,minitruck/mining-truck-v1.4,ya,-,2
train,2025-01-21_18-14_MT_ITH_06_cr1_jpg.rf.5909f01bea7b7fb850f4444e251d43ad.txt,site,minitruck/mining-truck-v1.4,tidak,-,2
train,2025-01-21_18-14_MT_ITH_06_cr1_jpg.rf.5909f01bea7b7fb850f4444e251d43ad_dup2.txt,site,minitruck/mining-truck-v1.4,tidak,dup2,2
train,2025-01-21_18-14_MT_ITH_06_cr1_jpg.rf.5909f01bea7b7fb850f4444e251d43ad_dup3.txt,site,minitruck/mining-truck-v1.4,tidak,dup3,2
train,2025-01-21_18-14_MT_ITH_06_cr1_jpg.rf.5909f01bea7b7fb850f4444e251d43ad_night.txt,site,minitruck/mining-truck-v1.4,ya,-,2
train,2025-01-25_18-03_MT_ITH_05_cr1_jpg.rf.725154caff5ed37d36bf774663b388a8.txt,site,minitruck/mining-truck-v1.4,tidak,-,2
train,2025-01-25_18-03_MT_ITH_05_cr1_jpg.rf.725154caff5ed37d36bf774663b388a8_dup2.txt,site,minitruck/mining-truck-v1.4,tidak,dup2,2
train,2025-01-25_18-03_MT_ITH_05_cr1_jpg.rf.725154caff5ed37d36bf774663b388a8_dup3.txt,site,minitruck/mining-truck-v1.4,tidak,dup3,2
train,2025-01-25_18-03_MT_ITH_05_cr1_jpg.rf.725154caff5ed37d36bf774663b388a8_night.txt,site,minitruck/mining-truck-v1.4,ya,-,2
train,2025-01-25_21-38_MT_ITH_06_cr1_jpg.rf.49db8e9058b44a9f18adcf82300843a3.txt,site,minitruck/mining-truck-v1.4,tidak,-,2
train,2025-01-25_21-38_MT_ITH_06_cr1_jpg.rf.49db8e9058b44a9f18adcf82300843a3_dup2.txt,site,minitruck/mining-truck-v1.4,tidak,dup2,2
train,2025-01-25_21-38_MT_ITH_06_cr1_jpg.rf.49db8e9058b44a9f18adcf82300843a3_dup3.txt,site,minitruck/mining-truck-v1.4,tidak,dup3,2
train,2025-01-25_21-38_MT_ITH_06_cr1_jpg.rf.49db8e9058b44a9f18adcf82300843a3_night.txt,site,minitruck/mining-truck-v1.4,ya,-,2
train,2025-01-25_22-00_MT_ITH_06_cr1_jpg.rf.d5780442085665a289dddf2894fa7274.txt,site,minitruck/mining-truck-v1.4,tidak,-,2
train,2025-01-25_22-00_MT_ITH_06_cr1_jpg.rf.d5780442085665a289dddf2894fa7274_dup2.txt,site,minitruck/mining-truck-v1.4,tidak,dup2,2
train,2025-01-25_22-00_MT_ITH_06_cr1_jpg.rf.d5780442085665a289dddf2894fa7274_dup3.txt,site,minitruck/mining-truck-v1.4,tidak,dup3,2
train,2025-01-25_22-00_MT_ITH_06_cr1_jpg.rf.d5780442085665a289dddf2894fa7274_night.txt,site,minitruck/mining-truck-v1.4,ya,-,2
train,2025-01-25_22-06_MT_ITH_06_cr1_jpg.rf.5c403553e14230d98518c52ad0507753.txt,site,minitruck/mining-truck-v1.4,tidak,-,2
