epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,103.867,1.09022,0.97872,1.23461,0.87571,0.74859,0.84341,0.59854,0.8679,0.62667,1.11559,0.000794521,0.000794521,0.00147945
2,204.967,1.0257,0.86344,1.19466,0.89145,0.81643,0.87403,0.64558,0.82458,0.56157,1.0865,0.000798779,0.000798779,0.000798779
3,307.735,0.99337,0.82453,1.17673,0.9051,0.78741,0.85245,0.62668,0.8429,0.57767,1.08758,0.000795125,0.000795125,0.000795125
4,85.9822,0.97348,0.79615,1.15211,0.86101,0.81757,0.85968,0.62835,0.82163,0.58506,1.09098,0.000789058,0.000789058,0.000789058
5,169.432,0.94947,0.77497,1.15219,0.88206,0.8285,0.87809,0.66361,0.77688,0.5044,1.07632,0.000780618,0.000780618,0.000780618
6,250.763,0.92942,0.76089,1.1439,0.92256,0.77831,0.87497,0.63995,0.81613,0.5655,1.0936,0.000769856,0.000769856,0.000769856
7,331.512,0.98604,0.80111,1.17734,0.8394,0.83054,0.85342,0.63021,0.81073,0.53972,1.10634,0.000756839,0.000756839,0.000756839
8,412.597,0.97776,0.78842,1.17075,0.87687,0.84337,0.87968,0.63143,0.81547,0.57181,1.09436,0.000741646,0.000741646,0.000741646
9,494.364,0.97044,0.77946,1.16511,0.90717,0.81023,0.87396,0.66473,0.8079,0.53229,1.07542,0.000724371,0.000724371,0.000724371
10,574.991,0.9698,0.78039,1.1632,0.89332,0.82845,0.88019,0.64843,0.79728,0.50439,1.0771,0.000705121,0.000705121,0.000705121
11,656.516,0.95243,0.76278,1.15616,0.9152,0.8301,0.87783,0.6333,0.79393,0.51252,1.07894,0.000684014,0.000684014,0.000684014
12,737.662,0.95072,0.75362,1.1557,0.90229,0.824,0.8812,0.64346,0.7992,0.54031,1.08218,0.000661181,0.000661181,0.000661181
13,819.374,0.95477,0.75733,1.15213,0.86254,0.83741,0.87995,0.66349,0.77696,0.54352,1.07076,0.000636763,0.000636763,0.000636763
14,910.844,0.94818,0.76097,1.1593,0.89201,0.81428,0.86821,0.65596,0.77033,0.5409,1.06691,0.000610909,0.000610909,0.000610909
15,991.855,0.93288,0.72591,1.15194,0.85316,0.83256,0.87041,0.64836,0.76766,0.51201,1.05259,0.00058378,0.00058378,0.00058378
16,1072.72,0.92406,0.72347,1.13776,0.8929,0.84937,0.87678,0.65555,0.77124,0.51819,1.04959,0.000555543,0.000555543,0.000555543
17,1153.45,0.92059,0.72048,1.13877,0.91906,0.80529,0.86917,0.66605,0.7534,0.48616,1.05315,0.000526371,0.000526371,0.000526371
18,1234.02,0.9135,0.71006,1.1306,0.86941,0.81322,0.87183,0.64902,0.78673,0.54164,1.08321,0.000496444,0.000496444,0.000496444
19,1314.97,0.91366,0.71689,1.13473,0.9301,0.793,0.87707,0.6504,0.77972,0.50226,1.06501,0.000465948,0.000465948,0.000465948
20,1395.73,0.91071,0.70542,1.13136,0.91145,0.814,0.87737,0.66609,0.74793,0.49294,1.05305,0.00043507,0.00043507,0.00043507
